"","Title","Rank","MovieRuntime","MovieStar","MovieMetascore","MovieGenere","MovieGross"
"68.","Mission: Impossible - Fallout",68,147,7.8,86,"
Action, Adventure, Thriller            ",220160000
"69.","Blindspotting",69,95,7.4,77,"
Comedy, Crime, Drama            ",4330000
"70.","Three Identical Strangers",70,96,7.7,81,"
Documentary, Biography, Drama            ",12320000
"71.","Christopher Robin",71,104,7.4,60,"
Animation, Adventure, Comedy            ",99220000
"72.","You Were Never Really Here",72,89,6.8,84,"
Crime, Drama, Mystery            ",2520000
"73.","Climax",73,95,7.4,83,"
Drama, Horror, Music            ",NA
"74.","Museo",74,128,7.1,87,"
Crime, Drama            ",150000
"75.","To All the Boys I've Loved Before",75,99,7.3,64,"
Drama, Romance            ",NA
"76.","The Wife",76,99,7.3,77,"
Drama            ",9140000
"77.","McQueen",77,111,7.9,84,"
Documentary, Biography            ",1260000
"78.","The Old Man & the Gun",78,93,6.8,80,"
Biography, Comedy, Crime            ",11280000
"79.","A Star Is Born",79,136,7.9,88,"
Drama, Music, Romance            ",209010000
"80.","First Man",80,141,7.4,84,"
Biography, Drama, History            ",44940000
"81.","The Sisters Brothers",81,122,7,78,"
Adventure, Comedy, Crime            ",3140000
"82.","Dragged Across Concrete",82,159,8.2,58,"
Action, Crime, Drama            ",NA
"83.","Widows",83,129,7.1,84,"
Crime, Drama, Thriller            ",42390000
"84.","Halloween",84,106,6.7,67,"
Horror, Thriller            ",159340000
"85.","Minding the Gap",85,93,8.2,93,"
Documentary            ",10000
"86.","Mid90s",86,85,7.4,66,"
Comedy, Drama            ",7360000
"87.","Benzinho",87,95,7.3,81,"
Drama            ",NA
"88.","If Beale Street Could Talk",88,119,7.5,87,"
Crime, Drama, Romance            ",13910000
"89.","Robin Williams: Come Inside My Mind",89,116,8,74,"
Documentary, Biography, Comedy            ",NA
"90.","Bad Times at the El Royale",90,141,7.2,60,"
Crime, Drama, Mystery            ",17840000
"91.","The Ballad of Buster Scruggs",91,133,7.3,79,"
Comedy, Drama, Musical            ",NA
"92.","Creed II",92,130,7.5,66,"
Drama, Sport            ",115630000
"93.","Ralph Breaks the Internet",93,111,7.2,71,"
Animation, Adventure, Comedy            ",197690000
"94.","Boy Erased",94,115,7,69,"
Biography, Drama            ",6790000
"95.","The Night Comes for Us",95,121,7,69,"
Action, Thriller            ",NA
"96.","96",96,158,8.9,NA,"
Drama, Romance            ",NA
"97.","Mary Poppins Returns",97,130,7.2,66,"
Comedy, Family, Fantasy            ",170030000
"98.","Filmworker",98,94,7.5,73,"
Documentary            ",1e+05
"99.","The Other Side of the Wind",99,122,7,78,"
Drama            ",NA
"100.","Shirkers",100,97,7.5,88,"
Documentary            ",NA
